SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22014,202324,Derrick Favors,1610612762,UTA,Utah Jazz,Cut,Offensive,0.603,74,0.225,1.23,0.643,0.19,0.067,0.19,0.048,0.625,0.643,3.6,4.5,1.9,2.9,1.0
22014,101162,Marcin Gortat,1610612764,WAS,Washington Wizards,Cut,Offensive,0.631,82,0.277,1.242,0.642,0.083,0.053,0.08,0.015,0.629,0.642,3.2,4.0,1.8,2.8,1.0
22014,1495,Tim Duncan,1610612759,SAS,San Antonio Spurs,Cut,Offensive,0.807,77,0.212,1.359,0.679,0.177,0.048,0.165,0.048,0.684,0.679,3.0,4.1,1.7,2.5,0.8
22014,201599,DeAndre Jordan,1610612746,LAC,Los Angeles Clippers,Cut,Offensive,0.883,82,0.225,1.432,0.837,0.255,0.052,0.234,0.073,0.745,0.837,2.3,3.4,1.5,1.8,0.3
22014,201572,Brook Lopez,1610612751,BKN,Brooklyn Nets,Cut,Offensive,0.754,72,0.161,1.32,0.639,0.155,0.036,0.139,0.046,0.655,0.639,2.7,3.6,1.5,2.3,0.8
22014,201600,Omer Asik,1610612740,NOP,New Orleans Pelicans,Cut,Offensive,0.263,76,0.36,1.055,0.564,0.205,0.1,0.196,0.05,0.543,0.564,2.9,3.0,1.2,2.1,0.9
22014,202685,Jonas Valanciunas,1610612761,TOR,Toronto Raptors,Cut,Offensive,0.534,80,0.209,1.193,0.641,0.144,0.091,0.128,0.016,0.615,0.641,2.3,2.8,1.2,1.8,0.7
22014,202702,Kenneth Faried,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.57,75,0.186,1.209,0.575,0.165,0.027,0.165,0.033,0.61,0.575,2.4,2.9,1.2,2.0,0.9
22014,201143,Al Horford,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.715,76,0.15,1.296,0.647,0.083,0.024,0.083,0.012,0.657,0.647,2.2,2.9,1.3,2.0,0.7
22014,203092,Tyler Zeller,1610612738,BOS,Boston Celtics,Cut,Offensive,0.701,82,0.214,1.289,0.628,0.139,0.03,0.127,0.042,0.645,0.628,2.0,2.6,1.1,1.8,0.7
22014,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,Cut,Offensive,0.517,82,0.271,1.189,0.673,0.267,0.122,0.256,0.022,0.65,0.673,2.2,2.6,0.9,1.4,0.5
22014,2199,Tyson Chandler,1610612742,DAL,Dallas Mavericks,Cut,Offensive,0.704,75,0.247,1.293,0.68,0.207,0.073,0.207,0.03,0.665,0.68,2.2,2.8,1.1,1.6,0.5
